subject,session,event_type,label,anode,cathode,amplitude,frequency,pulse_width,duration,time,trial_index
SC000,2025-09-12_23-10-17_652699,INJECTION_START,,0,0,0,0,0,0,2025-09-12_23-14-51_803214,0
SC000,2025-09-12_23-10-17_652699,INJECTION_END,,0,0,0,0,0,0,2025-09-12_23-14-54_970725,0
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX7_LX8,37,38,2,20,150,500,2025-09-12_23-15-03_851423,0
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX1_LX2,31,32,1,50,75,500,2025-09-12_23-15-07_702009,1
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX7_LX8,37,38,4,20,150,500,2025-09-12_23-15-11_495159,2
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX1_LX2,31,32,1,50,150,500,2025-09-12_23-15-15_291450,3
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX8_LX9,38,39,1,130,150,500,2025-09-12_23-15-19_146592,4
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX5_LX6,35,36,4,20,75,500,2025-09-12_23-15-22_942401,5
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX4_LX5,34,35,2,20,75,500,2025-09-12_23-15-26_807506,6
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX4_LX5,34,35,1,130,75,500,2025-09-12_23-15-30_624948,7
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX3_LX4,33,34,4,20,75,500,2025-09-12_23-15-34_524741,8
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX6_LX7,36,37,1,20,150,500,2025-09-12_23-15-38_413221,9
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX8_LX9,38,39,2,50,150,500,2025-09-12_23-15-42_254902,10
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX2_LX3,32,33,4,20,75,500,2025-09-12_23-15-46_093203,11
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX1_LX2,31,32,1,20,75,500,2025-09-12_23-15-49_868655,12
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX8_LX9,38,39,1,50,75,500,2025-09-12_23-15-53_674506,13
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX6_LX7,36,37,4,20,75,500,2025-09-12_23-15-57_450631,14
SC000,2025-09-12_23-10-17_652699,STIMULATION_CONFIGURATION,LX3_LX4,33,34,1,20,150,500,2025-09-12_23-16-01_261754,15
SC000,2025-09-12_23-10-17_652699,SHAM,LX3_LX4,33,34,1,20,150,500,2025-09-12_23-16-05_077682,15
