subject,session,experiment_block,experiment_phase,sequence_index,sequence_group,interval_type,emoji,interval,face1,face2,response,correct_response,time_to_respond,trial_time,log_num,log_time
SC000,0,0,ENCODING,0,A,short,sheep,2000,george_clooney,dakota_fanning,none,none,-999,281673323.194245,0,281681.3089356175
SC000,0,0,ENCODING,1,A,long,archery,4000,george_clooney,dakota_fanning,none,none,-999,281686314.536613,0,281696.3089356175
SC000,0,0,ENCODING,2,B,short,giraffe,2000,gal_gadot,jennifer_carpenter,none,none,-999,281701315.07551503,0,281709.3089356175
SC000,0,0,ENCODING,3,B,long,lemon,4000,gal_gadot,jennifer_carpenter,none,none,-999,281714323.929923,0,281724.3089356175
SC000,0,0,RETRIEVAL,2,B,short,giraffe,2000,gal_gadot,jennifer_carpenter,bottom_right,bottom_right,1626.8093605176546,281756080.753873,0,281768.7017347315
SC000,0,1,ENCODING,0,B,long,pretzel,4000,jamie_lee_curtis,marion_cotillard,none,none,-999,281775543.134294,0,281785.522408203
SC000,0,1,ENCODING,1,B,short,box,2000,jamie_lee_curtis,marion_cotillard,none,none,-999,281790534.16385,0,281798.522408203
SC000,0,1,ENCODING,2,A,short,onion,2000,jonah_hill,nikolaj_coster_waldau,none,none,-999,281803533.838004,0,281811.522408203
SC000,0,1,ENCODING,3,A,long,music,4000,jonah_hill,nikolaj_coster_waldau,none,none,-999,281816530.393522,0,281826.522408203
SC000,0,1,RETRIEVAL,2,A,short,onion,2000,jonah_hill,nikolaj_coster_waldau,top_right,top_right,6395.879579009488,281853307.69935,0,281870.683719569
SC000,0,2,ENCODING,0,A,long,trashcan,4000,sigourney_weaver,susan_sarandon,none,none,-999,281877544.556148,0,281887.5264663445
SC000,0,2,ENCODING,1,A,short,eggplant,2000,sigourney_weaver,susan_sarandon,none,none,-999,281892532.764858,0,281900.5264663445
SC000,0,2,ENCODING,2,B,long,broccoli,4000,harrison_ford,jerry_seinfeld,none,none,-999,281905532.312066,0,281915.5264663445
SC000,0,2,ENCODING,3,B,short,bullseye,2000,harrison_ford,jerry_seinfeld,none,none,-999,281920543.90250003,0,281928.5264663445
SC000,0,2,RETRIEVAL,1,A,short,eggplant,2000,sigourney_weaver,susan_sarandon,top_right,top_right,7031.601088470779,281959585.72425,0,281977.599137184
SC000,0,3,ENCODING,0,A,long,crocodile,4000,hilary_swank,famke_janssen,none,none,-999,281984877.653639,0,281994.86817120446
SC000,0,3,ENCODING,1,B,long,shell,4000,cameron_diaz,oprah_winfrey,none,none,-999,281999881.266001,0,282009.86817120446
SC000,0,3,ENCODING,2,B,short,bomb,2000,cameron_diaz,oprah_winfrey,none,none,-999,282014877.586943,0,282022.86817120446
SC000,0,3,ENCODING,3,A,short,dress,2000,hilary_swank,famke_janssen,none,none,-999,282027876.481942,0,282035.86817120446
SC000,0,3,RETRIEVAL,0,A,long,crocodile,4000,hilary_swank,famke_janssen,bottom_right,bottom_right,864.3722415436059,282063802.434484,0,282077.64814634505
SC000,0,4,ENCODING,0,A,short,apple,2000,jackie_chan,hugh_laurie,none,none,-999,282083792.964403,0,282091.78730842145
SC000,0,4,ENCODING,1,A,long,trophy,4000,jackie_chan,hugh_laurie,none,none,-999,282096796.304103,0,282106.78730842145
SC000,0,4,ENCODING,2,B,short,flamingo,2000,erica_durance,scarlett_johansson,none,none,-999,282111793.126664,0,282119.78730842145
SC000,0,4,ENCODING,3,B,long,avocado,4000,erica_durance,scarlett_johansson,none,none,-999,282124802.049616,0,282134.78730842145
SC000,0,4,RETRIEVAL,0,A,short,apple,2000,jackie_chan,hugh_laurie,top_right,top_right,839.6076914505102,282162562.177316,0,282174.396336397
