subject,session,experiment_block,experiment_phase,sequence_index,sequence_group,interval_type,sync_time,orient_time,trial_time,emoji_time,face1_time,interval_time,interval,face2_time,question_time,time_to_respond,log_num,log_time
SC000,0,0,ENCODING,0,A,short,281671313.073138,281671351.19696397,281673323.194245,281673323.194245,281675321.758995,281677329.018483,2000,281679322.622792,-999,-999,0,281681.3089356175
SC000,0,0,ENCODING,1,A,long,281684309.430116,281684343.19733995,281686314.536613,281686314.536613,281688319.274405,281690324.192155,4000,281694329.100069,-999,-999,0,281696.3089356175
SC000,0,0,ENCODING,2,B,short,281699309.518979,281699343.321867,281701315.07551503,281701315.07551503,281703321.443932,281705328.223069,2000,281707319.744107,-999,-999,0,281709.3089356175
SC000,0,0,ENCODING,3,B,long,281712315.20689696,281712335.572785,281714323.929923,281714323.929923,281716328.719489,281718316.867694,4000,281722322.351399,-999,-999,0,281724.3089356175
SC000,0,0,RETRIEVAL,2,B,short,281754077.613585,281754094.40315396,281756080.753873,281756080.753873,281758088.98711,281760093.9824,2000,281762082.168338,281767094.793446,1626.8093605176546,0,281768.7017347315
SC000,0,1,ENCODING,0,B,long,281773524.35336,281773538.456792,281775543.134294,281775543.134294,281777534.30511904,281779541.289786,4000,281783549.045788,-999,-999,0,281785.522408203
SC000,0,1,ENCODING,1,B,short,281788522.61750096,281788562.316065,281790534.16385,281790534.16385,281792538.898352,281794543.674146,2000,281796532.101343,-999,-999,0,281798.522408203
SC000,0,1,ENCODING,2,A,short,281801522.744891,281801562.004157,281803533.838004,281803533.838004,281805541.13822305,281807531.44125795,2000,281809542.385548,-999,-999,0,281811.522408203
SC000,0,1,ENCODING,3,A,long,281814522.66738,281814558.504986,281816530.393522,281816530.393522,281818537.818806,281820542.86978,4000,281824531.106133,-999,-999,0,281826.522408203
SC000,0,1,RETRIEVAL,2,A,short,281851289.10903597,281851319.73499,281853307.69935,281853307.69935,281855295.933994,281857303.78476405,2000,281859308.856244,281864299.71277803,6395.879579009488,0,281870.683719569
SC000,0,2,ENCODING,0,A,long,281875529.16191196,281875539.802621,281877544.556148,281877544.556148,281879549.866102,281881539.95755404,4000,281885548.187545,-999,-999,0,281887.5264663445
SC000,0,2,ENCODING,1,A,short,281890526.561407,281890560.709399,281892532.764858,281892532.764858,281894537.752204,281896542.48159003,2000,281898547.152595,-999,-999,0,281900.5264663445
SC000,0,2,ENCODING,2,B,long,281903526.810283,281903560.21895,281905532.312066,281905532.312066,281907539.967668,281909547.228753,4000,281913539.711909,-999,-999,0,281915.5264663445
SC000,0,2,ENCODING,3,B,short,281918527.136918,281918555.77356,281920543.90250003,281920543.90250003,281922532.042041,281924536.73248804,2000,281926541.390975,-999,-999,0,281928.5264663445
SC000,0,2,RETRIEVAL,1,A,short,281957569.465111,281957595.32501197,281959585.72425,281959585.72425,281961573.876664,281963578.772191,2000,281965585.845298,281970578.24233,7031.601088470779,0,281977.599137184
SC000,0,3,ENCODING,0,A,long,281982871.867024,281982888.48953897,281984877.653639,281984877.653639,281986883.019436,281988890.181224,4000,281992879.634103,-999,-999,0,281994.86817120446
SC000,0,3,ENCODING,1,B,long,281997872.913577,281997892.87214,281999881.266001,281999881.266001,282001888.607507,282003879.42637897,4000,282007890.990993,-999,-999,0,282009.86817120446
SC000,0,3,ENCODING,2,B,short,282012868.306843,282012905.59967995,282014877.586943,282014877.586943,282016878.886124,282018885.02050805,2000,282020873.169604,-999,-999,0,282022.86817120446
SC000,0,3,ENCODING,3,A,short,282025868.978483,282025905.34392,282027876.481942,282027876.481942,282029881.433708,282031885.94674903,2000,282033873.707408,-999,-999,0,282035.86817120446
SC000,0,3,RETRIEVAL,0,A,long,282061785.68101203,282061814.512473,282063802.434484,282063802.434484,282065790.339674,282067795.482207,4000,282071801.00404096,282076793.11134297,864.3722415436059,0,282077.64814634505
SC000,0,4,ENCODING,0,A,short,282081789.268588,282081804.776814,282083792.964403,282083792.964403,282085808.501705,282087799.139728,2000,282089810.259764,-999,-999,0,282091.78730842145
SC000,0,4,ENCODING,1,A,long,282094787.871574,282094824.248664,282096796.304103,282096796.304103,282098802.086205,282100807.153009,4000,282104807.540771,-999,-999,0,282106.78730842145
SC000,0,4,ENCODING,2,B,short,282109787.49500597,282109821.467382,282111793.126664,282111793.126664,282113798.427777,282115805.3969,2000,282117798.283918,-999,-999,0,282119.78730842145
SC000,0,4,ENCODING,3,B,long,282122792.985634,282122813.910808,282124802.049616,282124802.049616,282126808.070164,282128796.324606,4000,282132800.72919405,-999,-999,0,282134.78730842145
SC000,0,4,RETRIEVAL,0,A,short,282160558.681427,282160573.997536,282162562.177316,282162562.177316,282164566.56073695,282166571.200106,2000,282168575.921091,282173562.40735,839.6076914505102,0,282174.396336397
